,Year,farmed_ha,Country Name,population,ha_per_cap
0,1961-01-01,900955740.0,World,3072510552.0,0.2932311296420244
1,1962-01-01,914904579.0,World,3126934725.0,0.2925883203398178
2,1963-01-01,925971761.0,World,3193508879.0,0.28995434053402547
3,1964-01-01,941638056.0,World,3260517816.0,0.2888001566435851
4,1965-01-01,935002750.0,World,3328284623.0,0.28092631968392806
5,1966-01-01,933525378.0,World,3398561224.0,0.27468252488953837
6,1967-01-01,946722625.0,World,3468457168.0,0.27295208767012225
7,1968-01-01,950976827.0,World,3540254815.0,0.2686181861742627
8,1969-01-01,953376996.0,World,3614668576.0,0.2637522572138575
9,1970-01-01,951346582.0,World,3690306927.0,0.2577960589238544
10,1971-01-01,963842783.0,World,3768023181.0,0.25579534326118575
11,1972-01-01,956807270.0,World,3843695351.0,0.24892900779742363
12,1973-01-01,987190432.0,World,3920099706.0,0.25182788858381144
13,1974-01-01,990995869.0,World,3995972023.0,0.2479987005154265
14,1975-01-01,1001710000.0,World,4070114517.0,0.24611346826141403
15,1976-01-01,1009567539.0,World,4143194666.0,0.24366886433909113
16,1977-01-01,1018321296.0,World,4215940807.0,0.24154070054997334
17,1978-01-01,1025145855.0,World,4289914737.0,0.2389664871793931
18,1979-01-01,1021501017.0,World,4365850756.0,0.23397524883234924
19,1980-01-01,1029975636.0,World,4442440474.0,0.2318490572981395
20,1981-01-01,1042371724.0,World,4520991254.0,0.23056264996702866
21,1982-01-01,1035902626.0,World,4602763792.0,0.2250610009143828
22,1983-01-01,1021883112.0,World,4684941826.0,0.21812076861421417
23,1984-01-01,1043686483.0,World,4766716805.0,0.2189529031607742
24,1985-01-01,1058104893.0,World,4850160867.0,0.21815872133215988
25,1986-01-01,1055332933.0,World,4936097368.0,0.2137990510158024
26,1987-01-01,1037673318.0,World,5024386163.0,0.20652738152204803
27,1988-01-01,1052565435.0,World,5113492328.0,0.20584081631186912
28,1989-01-01,1066571940.0,World,5202698711.0,0.20500359510439467
29,1990-01-01,1065318987.0,World,5293517142.0,0.20124974727058323
30,1991-01-01,1069638651.0,World,5382656065.0,0.1987194868264354
31,1992-01-01,1075204679.0,World,5470276947.0,0.1965539751309414
32,1993-01-01,1063660249.0,World,5556722537.0,0.19141863606064735
33,1994-01-01,1073496565.0,World,5642128764.0,0.19026445689249782
34,1995-01-01,1072671275.0,World,5726801833.0,0.18730721025107977
35,1996-01-01,1086481603.0,World,5811624986.0,0.1869497095248396
36,1997-01-01,1095041716.0,World,5896077736.0,0.18572375823913323
37,1998-01-01,1085711864.0,World,5979730356.0,0.181565354850927
38,1999-01-01,1086947507.0,World,6062281732.0,0.1792967656488981
39,2000-01-01,1087460798.0,World,6144322697.0,0.17698627686513907
40,2001-01-01,1087196388.0,World,6226339538.0,0.17461244787000885
41,2002-01-01,1077909643.0,World,6308092739.0,0.17087726633056402
42,2003-01-01,1100235010.0,World,6389383352.0,0.17219737013519548
43,2004-01-01,1121722141.0,World,6470821068.0,0.17335082043100006
44,2005-01-01,1147044946.0,World,6552571570.0,0.1750526390664055
45,2006-01-01,1141042156.0,World,6634935638.0,0.1719748643023687
46,2007-01-01,1153238033.0,World,6717641730.0,0.17167304827374294
47,2008-01-01,1180458106.0,World,6801408360.0,0.17356083380354478
48,2009-01-01,1171432014.0,World,6885490816.0,0.17013050271999666
49,2010-01-01,1181765395.0,World,6969631901.0,0.1695592266257908
50,2011-01-01,1213838602.0,World,7053533350.0,0.17208943968486376
51,2012-01-01,1223317320.0,World,7140895722.0,0.17131146674375144
52,2013-01-01,1248668184.0,World,7229184551.0,0.17272600736514246
53,2014-01-01,1262339060.0,World,7317508753.0,0.172509402121654
54,2015-01-01,1262723861.0,World,7404910892.0,0.17052519326926696
55,2016-01-01,1269507326.0,World,7491934113.0,0.16944987860973731
56,2017-01-01,1293393613.0,World,7578157615.0,0.17067388654465193
57,2018-01-01,1289762088.0,World,7661776338.0,0.1683372146486691
58,2019-01-01,1286185273.0,World,7742681934.0,0.166116248086086
59,2020-01-01,1307423846.0,World,7820981524.0,0.16716876801050476
60,2021-01-01,1325585339.0,World,7888408686.0,0.1680421732399071
